User 23%, System 7%, IOW 0%, IRQ 0%
User 9 + Nice 0 + Sys 3 + Idle 26 + IOW 0 + IRQ 0 + SIRQ 0 = 38

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 1785 u0_a16   20   0   0% S    11 2055220K  55232K  fg com.huawei.ihealth
 1798 radio    20   0   0% S    24 2106380K  74804K  fg com.android.phone
 1865 wifi     20   0   0% S     1  14972K   4576K  fg /vendor/bin/wpa_supplicant_hisi
 1914 system   20   0   0% S    69 2201196K 105928K  fg com.huawei.systemmanager:service
 1928 u0_a34   20   0   0% S    12 2081448K  59456K  bg com.huawei.android.totemweather
 2030 u0_a3    20   0   0% S    24 2085180K  69204K  bg android.process.acore
 2108 root      0 -20   0% S     1      0K      0K  fg kbase_event
 2131 root      0 -20   0% S     1      0K      0K  fg kworker/2:1H
 2229 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
 2306 u0_a11   20   0   0% S     9 2059368K  54452K  fg com.google.android.ext.services
 2332 root      0 -20   0% S     1      0K      0K  fg kworker/3:1H
 2361 system   20   0   0% S    12 2069964K  60360K  fg com.huawei.indexsearch.observer
 2374 system   20   0   0% S    17 2060300K  61328K  fg com.android.supl
 2387 system   20   0   0% S    13 2062288K  57172K  fg com.huawei.geofence
 2408 u0_a79   20   0   0% S    26 2074420K  71116K  bg com.amap.android.ams
 2467 u0_a56   20   0   0% S    52 2770504K 159200K  bg com.huawei.android.launcher
    1 root     20   0   0% S     1  19588K   1708K  fg /init
 2583 root      0 -20   0% S     1      0K      0K  fg kbase_event
 2604 u0_a9    20   0   0% S    16 2089624K  74932K  fg android.process.media
 2751 u0_a94   20   0   0% S    27 1580400K  98520K  bg com.nuance.swype.emui
 2893 media_rw 20   0   0% S     4  28220K  14720K  fg /system/bin/sdcard
 4031 system   20   0   0% S    16 2059648K  65036K  fg com.huawei.android.pushagent.PushService
 5277 root     20   0   0% S     1      0K      0K  fg kworker/4:1
 5376 root     20   0   0% S     1      0K      0K  fg kworker/4:0
 5703 system   20   0   0% S    10 2127092K  72012K  bg com.android.settings
 5994 root     20   0   0% S     1      0K      0K  fg kworker/u16:1
 7410 root     20   0   0% S     1      0K      0K  fg kworker/u16:4
10224 u0_a52   20   0   0% S    11 2068088K  67160K  bg com.huawei.android.pushagent
11526 root     20   0   0% S     1      0K      0K  fg kworker/7:0
12168 root     20   0   0% S     1      0K      0K  fg kworker/u16:6
12466 root     20   0   0% S     1      0K      0K  fg kworker/u16:8
13109 system   20   0   0% S    26 2125560K  80196K  bg com.huawei.systemmanager
13206 root     20   0   0% S     1      0K      0K  fg kworker/0:1
13497 u0_a13   20   0   0% S    12 2062564K  56256K  bg com.android.calendar
13678 root     20   0   0% S     1      0K      0K  fg kworker/u16:7
13707 root     20   0   0% S     1      0K      0K  fg kworker/6:0
14087 root     20   0   0% S     1      0K      0K  fg kworker/u16:3
14302 u0_a22   20   0   0% S    16 1798564K  70256K  bg com.android.gallery3d
14333 u0_a81   20   0   0% S    11 1489632K  48340K  bg com.huawei.phoneservice
14353 radio    20   0   0% S    19 2101252K  67720K  bg com.huawei.hidisk
14412 root     RT   0   0% S     1      0K      0K  fg irq/43-mmc0
14415 u0_a82   20   0   0% S    17 2079524K  74144K  bg com.huawei.appmarket
14429 root     20   0   0% S     1      0K      0K  fg cabc_pwm_task
14649 root     20   0   0% S     1      0K      0K  fg kworker/u16:5
14668 root      0 -20   0% S     1      0K      0K  fg kworker/u17:0
14760 u0_a51   20   0   0% S    10 1486164K  46776K  bg com.huawei.android.hwouc:hwbdservice
14780 u0_a51   20   0   0% S    10 1485264K  42380K  bg com.huawei.android.hwouc:usersurvey
14807 u0_a45   20   0   0% S    10 1477940K  44524K  bg com.huawei.hilink.framework
14883 u0_a36   20   0   0% S    10 2057232K  55984K  bg com.android.keyguard
14958 root     20   0   0% S     1      0K      0K  fg kworker/1:0
14962 root     20   0   0% S     1      0K      0K  fg kworker/2:1
14988 u0_a51   20   0   0% S    11 1487232K  47780K  bg com.huawei.android.hwouc
15010 root     20   0   0% S     1      0K      0K  fg kworker/3:2
15023 root      0 -20   0% S     1      0K      0K  fg kworker/u17:1
15032 shell    20   0   0% S     6  17444K    652K  fg /sbin/adbd
15033 shell    20   0   0% S     4  10764K    664K  fg /sbin/hdbd
15082 u0_a235  20   0   0% S    28 2497956K  78524K  bg com.huawei.hisuite
15104 root      0 -20   0% S     1      0K      0K  fg kbase_event
15152 root      0 -20   0% S     1      0K      0K  fg kbase_event
15198 shell    20   0   0% S     1   8144K   1580K  fg logcat
15409 root     20   0   0% S     1      0K      0K  fg kworker/0:0
15506 root     20   0   0% S     1      0K      0K  fg kworker/3:0
15537 root      0 -20   0% S     1      0K      0K  fg kworker/u17:2
15610 root      0 -20   0% S     1      0K      0K  fg kbase_event
15743 root     20   0   0% S     1      0K      0K  fg kworker/1:2
15780 root     20   0   0% S     1      0K      0K  fg kworker/u16:0
15802 root     20   0   0% S     1      0K      0K  fg kworker/2:2
16011 root     20   0   0% S     1      0K      0K  fg kworker/0:2
16016 root     20   0   0% S     1      0K      0K  fg kworker/3:1
16032 root     20   0   0% S     1      0K      0K  fg kworker/u16:2
16046 u0_a20   20   0   0% S    13 2082292K  76492K  bg com.huawei.intelligent
16232 root     20   0   0% S     1      0K      0K  fg kworker/1:1
16397 root     20   0   0% S     1      0K      0K  fg kworker/2:0
17689 root     20   0   0% S     1      0K      0K  fg kworker/6:2
19377 root     20   0   0% S     1      0K      0K  fg kworker/5:1
 2492 system   20   0   0% S    14 2079492K  70364K  bg com.huawei.bd
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
